Fichier,Type,Répertoire,Description,Classes principales,Fonctions principales,Dépendances,Rôle dans l'app,Complexité,Lignes de code,Status
lib/main.dart,Entry Point,root,Point d'entrée principal de l'application Flutter avec configuration Riverpod,MyApp,main(),flutter/material.dart; flutter_riverpod/flutter_riverpod.dart,Initialisation application,Faible,~100,Stable
lib/app/config/app_config.dart,Configuration,app/config,Configuration principale de l'application avec environnements,AppConfig; ImageConfig,AppConfig.development(); AppConfig.production(),package:freezed_annotation/freezed_annotation.dart,Gestion configuration,Moyenne,~150,Stable
lib/app/config/app_config.freezed.dart,Generated,app/config,Fichier généré par Freezed pour la sérialisation,_$AppConfig; _$ImageConfig,copyWith(); toString(),Généré automatiquement,Sérialisation modèles,Auto,~800,Généré
lib/app/config/index.dart,Barrel,app/config,Fichier d'export pour simplifier les imports de configuration,-,export statements,app_config.dart,Export configuration,Très faible,~10,Stable
lib/features/common/domain/models/device_config.dart,Model,common/domain/models,Modèles de configuration d'appareil,DeviceConfig; DeviceCapabilities; DeviceType,DeviceConfig.fromMediaQuery(),flutter/material.dart,Configuration appareil,Moyenne,~120,Stable
lib/features/common/domain/models/device_config.freezed.dart,Generated,common/domain/models,Fichier généré par Freezed pour DeviceConfig,_$DeviceConfig; _$DeviceCapabilities,copyWith(); toString(),Généré automatiquement,Sérialisation modèles,Auto,~600,Généré
lib/features/common/domain/providers/device_config_provider.dart,Provider,common/domain/providers,Provider Riverpod pour la configuration d'appareil,DeviceConfigNotifier,build(),flutter_riverpod/flutter_riverpod.dart,State management appareil,Faible,~50,Stable
lib/features/puzzle/domain/models/game_state.dart,Model,puzzle/domain/models,Modèles d'état du jeu de puzzle,GameState; GameSettings,GameState.initial(); shufflePieces(),flutter/material.dart; dart:typed_data,État du jeu principal,Élevée,~200,Stable
lib/features/puzzle/domain/models/game_state.freezed.dart,Generated,puzzle/domain/models,Fichier généré par Freezed pour GameState,_$GameState; _$GameSettings,copyWith(); toString(),Généré automatiquement,Sérialisation modèles,Auto,~1200,Généré
lib/features/puzzle/domain/models/image_processing_data.dart,Model,puzzle/domain/models,Données de traitement d'images pour les puzzles,ImageProcessingData,ImageProcessingData.empty(),flutter/material.dart,Métadonnées images,Moyenne,~80,Stable
lib/features/puzzle/domain/models/image_processing_data.freezed.dart,Generated,puzzle/domain/models,Fichier généré par Freezed pour ImageProcessingData,_$ImageProcessingData,copyWith(); toString(),Généré automatiquement,Sérialisation modèles,Auto,~400,Généré
lib/features/puzzle/domain/providers/game_providers.dart,Provider,puzzle/domain/providers,Providers Riverpod pour la logique du jeu,GameStateNotifier; GameSettingsNotifier,updatePuzzle(); resetGame(),flutter_riverpod/flutter_riverpod.dart,State management jeu,Élevée,~300,Stable
lib/features/puzzle/presentation/controllers/image_controller.dart,Controller,puzzle/presentation/controllers,Contrôleur pour la sélection et traitement d'images,ImageController,pickImage(); processImage(),image_picker/image_picker.dart,Gestion images,Élevée,~250,Stable
lib/features/puzzle/presentation/screens/puzzle_game_screen.dart,Screen,puzzle/presentation/screens,Écran principal du jeu de puzzle,PuzzleGameScreen,build(); _handlePieceMove(),flutter/material.dart; flutter_riverpod/flutter_riverpod.dart,Interface jeu principal,Très élevée,~400,Stable
lib/features/puzzle/presentation/screens/help_screen.dart,Screen,puzzle/presentation/screens,Écran d'aide avec documentation,HelpScreen; _HelpScreenState,build(); getHelpContent(),flutter_markdown/flutter_markdown.dart,Interface aide,Moyenne,~250,Stable
lib/features/puzzle/presentation/widgets/board/puzzle_board.dart,Widget,puzzle/presentation/widgets/board,Widget du plateau de puzzle,PuzzleBoard,build(); _buildPiece(),flutter/material.dart,UI plateau puzzle,Élevée,~300,Stable
lib/features/puzzle/presentation/widgets/image/image_preview.dart,Widget,puzzle/presentation/widgets/image,Widget d'aperçu d'image,ImagePreview,build(); _showImageDetails(),flutter/material.dart,UI aperçu image,Moyenne,~150,Stable
lib/features/puzzle/presentation/widgets/image/image_processing_report_widget.dart,Widget,puzzle/presentation/widgets/image,Widget d'affichage des rapports de traitement,ImageProcessingReportWidget,build(); _formatSize(),flutter/material.dart,UI rapport traitement,Faible,~100,Stable
lib/features/puzzle/presentation/widgets/toolbar/custom_toolbar.dart,Widget,puzzle/presentation/widgets/toolbar,Barre d'outils personnalisée,CustomToolbar,build(); _buildToolButton(),flutter/material.dart,UI barre outils,Moyenne,~200,Stable
lib/core/constants/image_list.dart,Constants,core/constants,Liste des images d'art intégrées,ImageAsset,-,Aucune,Constantes images,Très faible,~50,Stable
lib/core/utils/image_optimizer.dart,Utility,core/utils,Utilitaires d'optimisation d'images,ImageOptimizer,optimizeImage(); resizeImage(),flutter/material.dart; dart:typed_data,Optimisation images,Élevée,~200,Stable
lib/core/utils/profiler.dart,Utility,core/utils,Utilitaires de profilage de performance,Profiler,startTimer(); endTimer(),dart:async,Performance monitoring,Faible,~80,Stable
lib/l10n/app_localizations.dart,Localization,l10n,Classe abstraite de localisation,AppLocalizations,delegate; supportedLocales,flutter/material.dart,Internationalisation,Faible,~50,Généré
lib/l10n/app_localizations_en.dart,Localization,l10n,Localisation anglaise,AppLocalizationsEn,Getters pour textes,app_localizations.dart,Textes anglais,Faible,~100,Généré
lib/l10n/app_localizations_fr.dart,Localization,l10n,Localisation française,AppLocalizationsFr,Getters pour textes,app_localizations.dart,Textes français,Faible,~100,Généré

